matchNum,scoreDiff,rpDiff,autoDiff,lastFive,linkPoints,endgamePoints,bluewin,eventNum
31,33.5,3.5,23.0,5.0,5.0,19.0,1,2
32,-59.5,-1.0,-3.0,0.0,-7.5,-12.0,0,2
33,-31.5,-2.0,-4.0,0.0,-5.0,-13.0,1,2
34,4.5,-1.0,-16.0,-5.0,5.0,14.0,1,2
35,-25.0,-0.5,-8.0,0.0,-15.0,22.0,0,2
36,61.0,1.5,27.0,2.5,15.0,-10.0,0,2
37,50.5,1.0,1.0,0.0,15.0,10.0,1,2
38,56.0,3.0,5.5,5.0,17.5,14.0,0,2
39,-36.0,0.0,-3.5,0.0,-7.5,0.0,1,2
40,-14.67,0.0,-4.67,0.0,-6.67,2.0,0,2
41,-8.0,0.0,11.01,1.65,1.67,-20.01,1,2
42,43.33,1.0,9.66,1.65,15.01,0.0,1,2
43,-61.99,-3.0,-21.68,-3.35,-15.01,-3.99,0,2
44,-55.0,-2.01,-21.67,-1.65,-6.67,-17.34,0,2
45,1.0,-0.33,-6.0,1.65,6.66,-13.32,0,2
46,-25.66,-3.34,-2.0,-6.65,-1.67,-23.33,0,2
47,-30.0,0.34,-1.66,3.35,-10.0,0.67,1,2
48,-90.34,-5.0,-22.33,-5.0,-21.66,-23.99,0,2
49,29.0,-1.67,12.99,-5.0,9.99,-12.67,1,2
50,28.35,-1.0,14.99,-3.35,6.67,-1.34,0,2
51,-81.67,-2.33,-18.0,-1.65,-23.33,0.68,0,2
52,15.67,1.33,8.67,3.35,6.67,-15.34,0,2
53,15.25,-0.5,1.75,-1.25,3.75,10.0,1,2
54,-36.0,-2.25,-12.5,-5.0,-5.0,1.0,0,2
55,45.25,3.5,15.75,5.0,10.0,2.0,0,2
56,36.75,3.5,0.0,3.75,6.25,17.5,0,2
57,-61.0,0.25,-16.25,-1.25,-17.5,4.5,0,2
58,2.25,-0.25,8.25,-1.25,0.0,-1.5,0,2
59,8.25,0.5,12.5,2.5,2.5,-10.0,1,2
60,2.5,-0.75,5.0,-2.5,1.25,5.0,1,2
61,-19.25,0.75,-8.0,2.5,-1.25,-4.0,0,2
62,42.75,2.25,9.75,3.75,12.5,0.0,1,2
63,31.5,0.25,22.75,-2.5,6.25,0.0,0,2
64,-25.25,0.75,-0.5,1.25,-8.75,14.5,0,2
65,3.75,1.25,-13.5,2.5,0.0,15.5,1,2
66,-43.6,-3.2,-10.0,-6.0,-13.0,-8.0,0,2
67,-44.2,0.0,-20.6,-0.0,-5.0,7.2,0,2
68,25.6,0.4,15.2,-0.0,5.0,-6.4,0,2
69,11.0,-0.4,-0.4,1.0,-1.0,5.2,1,2
70,-17.4,-2.6,-6.2,-4.0,2.0,-13.2,0,2
71,-56.2,-2.2,-5.6,-2.0,-9.0,-12.4,1,2
72,66.4,4.2,-0.2,4.0,17.0,28.8,1,2
73,-14.8,-0.2,3.8,0.0,-6.0,4.4,0,2
74,24.4,0.4,9.2,1.0,7.0,-8.8,0,2
75,68.6,2.2,22.8,3.0,18.0,-4.0,1,2
76,16.6,1.2,-8.2,2.0,4.0,-1.6,1,2
77,28.0,2.4,10.4,5.0,12.0,-7.6,1,2
78,-22.0,-1.0,-4.0,-1.0,-4.0,-8.0,1,2
79,13.51,-0.33,2.49,-1.0,4.16,-3.33,0,2
80,40.17,-0.16,15.49,-3.0,10.84,-9.33,1,2
81,22.83,0.5,3.83,1.0,12.5,-2.99,1,2
82,-32.17,0.17,0.5,0.0,-18.33,14.67,1,2
83,71.0,4.49,11.66,5.0,19.17,14.67,0,2
84,2.84,-0.66,13.33,-2.0,0.01,-5.0,1,2
85,14.18,0.85,9.16,0.0,-0.83,7.99,1,2
86,49.32,4.33,9.83,7.0,12.51,2.66,1,2
87,23.82,0.32,7.34,-1.0,10.0,-1.32,1,2
88,16.34,0.67,-3.33,-0.0,5.84,1.33,0,2
89,-43.51,-1.83,-9.01,-1.0,-15.0,4.32,0,2
90,-7.33,-0.33,-9.49,-2.0,0.0,8.33,1,2
91,7.67,-0.5,-9.16,0.0,7.51,1.68,1,2
92,33.15,0.72,-4.43,0.0,4.3,18.3,0,2
93,12.28,0.43,6.86,-2.0,6.43,1.15,1,2
